대학코드,국가,대학명,파견구분,협정형태,NUM_VISITS,BERT_SUM,RNN_SUM,BERT_AVG,RNN_AVG,BERT_PLUS_RNN_SCORE,COLLEGE_LINK
GB000043,UNITED KINGDOM,University of St Andrews,,교환대학ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000043&bgbn=A
GB000018,UNITED KINGDOM,University of Strathclyde,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000018&bgbn=A
GB000019,UNITED KINGDOM,University of Sunderland,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000019&bgbn=A
GB000020,UNITED KINGDOM,University of the Arts London,방문학생SAP(정규),SAF,1.0,1.0,0.6420245766639711,1.0,0.6420245766639711,0.8926073729991912,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000020&bgbn=A
GB000021,UNITED KINGDOM,University of Ulster-Belfast,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000021&bgbn=A
GB000022,UNITED KINGDOM,University of Ulster-Coleraine,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000022&bgbn=A
GB000023,UNITED KINGDOM,University of Ulster-Jordanstown,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000023&bgbn=A
GB000024,UNITED KINGDOM,University of Ulster-Magee College,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000024&bgbn=A
GB000025,UNITED KINGDOM,University of Westminster,방문학생SAP(정규),SAF,7.0,3.0,5.5646777749061584,0.42857142857142855,0.794953967843737,0.5384861903531211,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=GB000025&bgbn=A
US000001,UNITED STATES,Adrian College,교환학생,교환대학,6.0,5.0,3.1834423542022705,0.8333333333333334,0.5305737257003784,0.7425054510434469,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000001&bgbn=A
US000002,UNITED STATES,Agnes Scott College,교환학생,ISEP,1.0,0.0,0.682537853717804,0.0,0.682537853717804,0.2047613561153412,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000002&bgbn=A
US000003,UNITED STATES,American University,교환학생방문학생SAP(정규),교환대학SAF,113.0,93.0,85.56673896312714,0.8230088495575221,0.7572277784347534,0.8032745282206913,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000003&bgbn=A
US000303,UNITED STATES,Amherst-College,교환학생,교환대학,1.0,0.0,0.6868484616279602,0.0,0.6868484616279602,0.20605453848838806,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000303&bgbn=A
US000004,UNITED STATES,Appalachian State University,교환학생,ISEP,3.0,3.0,2.010474145412445,1.0,0.6701580484708151,0.9010474145412445,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000004&bgbn=A
US000005,UNITED STATES,Arizona State University,교환학생,교환대학,79.0,57.0,57.65453800559044,0.7215189873417721,0.7298042785517777,0.7240045747047738,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000005&bgbn=A
US000006,UNITED STATES,Armstrong Atlantic State University,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000006&bgbn=A
US000288,UNITED STATES,Azusa Pacific University,교환학생,교환대학,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000288&bgbn=A
US000007,UNITED STATES,Ball State University,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000007&bgbn=A
US000008,UNITED STATES,Barton College,교환학생,교환대학,9.0,7.0,4.570557743310928,0.7777777777777778,0.5078397492567698,0.6967963692214754,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000008&bgbn=A
US000009,UNITED STATES,Baylor University,교환학생,교환대학,48.0,43.0,28.219400882720947,0.8958333333333334,0.5879041850566864,0.8034545888503393,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000009&bgbn=A
US000010,UNITED STATES,Bellarmine University,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000010&bgbn=A
US000011,UNITED STATES,Beloit College,교환학생,ISEP,2.0,2.0,1.8123853206634521,1.0,0.9061926603317261,0.9718577980995178,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000011&bgbn=A
US000012,UNITED STATES,Benedictine College,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000012&bgbn=A
US000013,UNITED STATES,Berry College,교환학생,ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000013&bgbn=A
US000014,UNITED STATES,Biola University,교환학생,교환대학,16.0,14.0,11.777379274368286,0.875,0.7360862046480179,0.8333258613944052,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000014&bgbn=A
US000300,UNITED STATES,Boston University,,교환대학ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000300&bgbn=A
US000015,UNITED STATES,Bowling Green State University,교환학생,교환대학,7.0,5.0,4.8248162269592285,0.7142857142857143,0.6892594609941755,0.7067778382982526,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000015&bgbn=A
US000016,UNITED STATES,Brandeis University,교환학생,교환대학,12.0,9.0,6.261132717132568,0.75,0.5217610597610474,0.6815283179283141,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000016&bgbn=A
US000282,UNITED STATES,Bridgewater College,교환학생,ISEP,1.0,1.0,0.7022072076797485,1.0,0.7022072076797485,0.9106621623039245,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000282&bgbn=A
US000017,UNITED STATES,Brown University,교환학생,,5.0,4.0,2.7172949016094208,0.8,0.5434589803218841,0.7230376940965652,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000017&bgbn=A
US000018,UNITED STATES,Butler University,교환학생,ISEP,1.0,1.0,0.6321536898612976,1.0,0.6321536898612976,0.8896461069583892,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000018&bgbn=A
US000299,UNITED STATES,California Institute of the Arts,,교환대학ISEP,,,,,,,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000299&bgbn=A
US000020,UNITED STATES,California Polytechnic State University San Luis Obispo,교환학생,교환대학,10.0,6.0,6.158437967300415,0.6,0.6158437967300415,0.6047531390190124,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000020&bgbn=A
US000029,UNITED STATES,California State Polytechnic University Ponoma,교환학생,교환대학,2.0,1.0,1.238731324672699,0.5,0.6193656623363495,0.5358096987009048,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000029&bgbn=A
US000301,UNITED STATES,Case Western Reserve University,교환학생,교환대학,3.0,3.0,2.071917414665222,1.0,0.6906391382217407,0.9071917414665222,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000301&bgbn=A
US000042,UNITED STATES,Central Michigan University,교환학생,ISEP,6.0,3.0,4.1229196190834045,0.5,0.6871532698472341,0.5561459809541702,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000042&bgbn=A
US000043,UNITED STATES,Central Washington University,교환학생,ISEP,2.0,2.0,1.2728118896484375,1.0,0.6364059448242188,0.8909217834472656,http://oia.yonsei.ac.kr/partner/expReport.asp?ucode=US000043&bgbn=A
