,__,êµ,__,__,ê²½ë_
98,Friedrich-Alexander-Universitat, Germany, 91054 Erlangen,49.5978804,11.0045507
99,Humboldt-Universitat zu Berlin, Germany, 10117 Berlin,52.517883,13.3936551
100,Katholische Universitat Eichstatt, Germany, 85072 EichstÃ¤tt,48.8888993,11.1897339
101,Leibniz Universitat Hannover, Germany, 30167 Hannover,52.3829641,9.7196989
102,Leuphana University of Lunerburg, Germany, 21335 LÃ¼neburg,53.2289539,10.4013612
103,Ludwig-Maximilians-Universitat Munchen, Germany, 80333 MÃ¼nchen,48.1483061,11.5729663
104,Pforzheim University, Germany, 75175 Pforzheim,48.8786503,8.7174212
105,RWTH Aachen University, Germany, 52062 Aachen,50.7800778,6.0656869
106,Technische Universitat Braunschweig, Germany, 38106 Braunschweig,52.2739873,10.5289182
107,Technische Universitat Dortmund, Germany, 44227 Dortmund,51.4843281,7.4138369
108,Technische Universtat Munchen, Germany, 80333 MÃ¼nchen,48.14966,11.5678602
109,Universitat Trier, Germany, 54296 Trier,49.7457817,6.6884495
110,University of Erfurt, Germany, 99089 Erfurt,50.9906637,11.010794
111,Chinese University of Hong Kong, Hong Kong, Ma Liu Shui,22.419625,114.2067606
112,City University of Hong Kong, Hong Kong, Kowloon Tong,22.3366793,114.1724234
113,Hong Kong Polytechnic University, Hong Kong, Hung Hom,22.3039347,114.1797311
114,Hong Kong University of Science of Technology, Hong Kong,Clear Water Bay,22.3363998,114.2654655
115,University of Hong Kong, Hong Kong,Pok Fu Lam,22.2829989,114.1370848
116,Universitas Indonesia, Indonesia, Jawa Barat 16424,-6.3627638,106.8270482
117,Athlone Institute of Technology, Ireland, Co. Westmeath,53.4176602,-7.9035815
118,Dublin Institute of Technology, Ireland, D08 X622,53.3371436,-6.2682366
119,University College Cork, Ireland, T12 YN60,51.8929592,-8.4937711
120,The Hebrew University of Jerusalem,Jerusalem,Jerusalem,31.7972426,35.2403069
121,Bocconi University, Italy, 20100 Milano MI,45.4485736,9.189945
122,Ca Foscari University of Venice, Italy, 30123 Venezia VE,45.4345385,12.3263858
123,IUSVE UNIVERSITY, Italy, 37123 Verona VR,45.4402596,10.9843031
124,Luiss Guido Carli, Italy, 00197 Roma RM,41.9247907,12.4937583
125,Universita Cattolica del Sacro Cuore, Italy, 20123 Milano MI,45.4621325,9.1771785
126,Universita degli Studi della Tuscia, Italy, 01100 Viterbo VT,42.4133024,12.1122778
127,University of Modena and Reggio Emilia, Italy, 41121 Modena MO,44.6451116,10.9279258
128,University of Torino, Italy, 10124 Torino TO,45.069428,7.6889006
129,Akita International University, Japan, 010-1211,39.6266996,140.1981405
130,Aoyama Gakuin University, Japan, T_ky_-to 150-8366,35.6604069,139.7095165
131,Chuo University, Japan,"£·£´£²-1 Higashinakano, Hachioji, Tokyo 192-0393, Japan",35.6402,139.404
132,Doshisha University, Japan, 602-8580,35.0300916,135.7606883
133,Hokkaido University, Japan, Hokkaido 060-0808,43.0779575,141.340013
134,Hosei University, Japan, T_ky_-to 102-8160,35.6957661,139.7415222
135,International Christian University, Japan, T_ky_-to 181-8585,35.6875365,139.5295507
136,International University of Japan, Japan, Niigata 949-7277,37.1480698,138.9465221
137,Kansai Gaidai University, Japan, Osaka 573-1195,34.8232692,135.6641178
138,Keio University, Japan, T_ky_-to 108-8345,35.6489643,139.7429376
139,Kwansei Gakuin University, Japan, Hyogo 662-8501,34.7688408,135.3468064
140,Kyoto University, Japan, 606-8501,35.0262444,135.7808218
141,Kyushu University, Japan, 812-0053,33.6266584,130.4250445
142,Meiji Gakuin University, Japan, T_ky_-to 108-8636,35.6374269,139.7307782
143,Mejiro University, Japan, T_ky_-to 161-0032,35.7176598,139.6809808
144,Nagasaki University, Japan, 852-8521,32.785253,129.863167
145,Nagoya University, Japan, Aichi 464-8601,35.1538553,136.9682402
146,Nagoya University, Japan, Aichi 464-8601,35.1538553,136.9682402
147,Nanzan University, 466-8673 ____¤å_å¸____å±±é_ºï_ï¼,Japan,35.1486932,136.9628409
148,Nihon University, Japan, Tokyo 101-0061,35.6997742,139.7555015
149,Osaka University, Japan, Osaka 565-0871,34.8220139,135.5244676
150,Rikkyo University, Japan, T_ky_-to 171-8501,35.7299504,139.7022176
151,Ritsumeikan Asia Pacific University, __å­__ï¼__ï¼, Beppu,33.3371371,131.4683448
152,Ritsumeikan University, Japan, 603-8577,35.0325561,135.7233044
153,Sophia University, Japan, T_ky_-to 102-8554,35.6835627,139.7325889
154,Surugadai University, Japan, Saitama 357-0046,35.8312682,139.3357626
155,Tohoku University, Japan, Miyagi 980-8577,38.253834,140.874074
156,Tokyo Institute of Technology, Japan, T_ky_-to 152-8550,35.6051229,139.6835302
157,Tokyo University of Foreign Studies, Japan, T_ky_-to 183-8534,35.6744163,139.5204545
158,University of the Ryukyus, 1__ å­, Senbaru,26.2516868,127.7684078
159,University of Tokyo, Japan, T_ky_-to 113-8654,35.7126775,139.761989
160,Waseda University, Japan, Tokyo 169-8050,35.7087334,139.7196485
161,Yokohama National University, Japan, Kanagawa 240-8501,35.4723189,139.5917861
162,KIMEP University, Kazakhstan, Almaty 050010,43.241948,76.955598
163,Kaunas University of Technology, Lithuania, Kaunas 44249,54.898991,23.912825
164,Vilnius University, Lithuania, Vilnius 01513,54.6825757,25.2876469
165,Instituto Tecnologico y de Estudios Superiores de Monterrey (ITESM)-Monterrey, Mexico, N.L.,25.6515649,-100.28954
166,Universidad de Monterrey (UDEM), Mexico, N.L.,25.6625257,-100.4201252
167,Universidad Nacional Autonoma de Mexico (UNAM), Mexico, CDMX,19.3228313,-99.1865774
168,Huree Institute of Information and Communication Technology,Mongolia,Ulaanbaatar,47.9264,106.884
169,Amsterdam University College, Netherlands, 1098 XG Amsterdam,52.3549395,4.9511709
170,Erasmus School of Economics, Netherlands, 3062 PA Rotterdam,51.9180228,4.5262223
171,"Erasmus School of History, Culture and Communication", Netherlands, 3062 PA Rotterdam,51.9158765,4.5246227
172,"Erasmus University, Rotterdam", Netherlands, 3062 PA Rotterdam,51.9165475,4.5259762
173,Inholland University of Applied Sciences, Netherlands, 2628 AL Delft,52.0002,4.368867
174,Leiden University, Netherlands, 2311 EZ Leiden,52.1571485,4.485209
175,Maastricht University, Netherlands, 6211 LK Maastricht,50.8471654,5.6865453
176,Radboud University Nijmegen, Netherlands, 6525 XZ Nijmegen,51.8220189,5.8638187
177,Saxion University, Netherlands, 7513 AB Enschede,52.2206962,6.8862917
178,The Hague University of Applied Sciences, Netherlands, 2521 EN Den Haag,52.0670747,4.323974
179,Tilburg University, Netherlands, 5037 AB Tilburg,51.5639249,5.0434446
180,University of Amsterdam, Netherlands,1012 WX Amsterdam,52.3558182,4.9557263
181,University of Groningen, Netherlands,9712 CP Groningen,53.2192634,6.5629872
182,University of Leiden, Netherlands, 2311 EZ Leiden,52.1571485,4.485209
183,Utrecht University, Netherlands, 3584 CS Utrecht,52.0851825,5.1757062
184,Vrije Universiteit Amsterdam, Netherlands, 1081 HV Amsterdam,52.3337568,4.8657199
185,"Massey University (Auckland, Palmerston North, Wellington)", New Zealand, Auckland 0632,-36.7323409,174.7014999
186,University of Auckland, New Zealand, Auckland 1010,-36.8523378,174.7691073
187,University of Canterbury, New Zealand, Christchurch 8041,-43.5224836,172.5794354
188,University of Otago, New Zealand, Dunedin 9016,-45.8646835,170.5144227
189,University of Waikato, New Zealand, Hamilton 3216,-37.7868611,175.3184579
190,Norwegian School of Economics, Norway, 5045 Bergen,60.4229376,5.3024087
191,University of Oslo, Norway, 0315 Oslo,59.9399586,10.7217496
192,Ateneo de Manila University, Philippines, 1108 Metro Manila,14.639904,121.0785093
193,University of the Philippines, Philippines, Metro Manila,14.6549715,121.0651503
194,Warsaw School of Economics, Poland, 02-554 Warszawa,52.208872,21.0086579
195,Wroclaw University, Poland, 50-137 Wroc_aw,51.1140053,17.034463
196,Far Eastern Federal University,690091, Russia,43.119189,131.88587
197,Moscow State University,119991, Russia,55.7039349,37.5286696
198,St. Petersburg State University,199034, Russia,59.941894,30.2989199
199,Nanyang Technological University, Singapore 639798,50 Nanyang Ave,1.3483099,103.6831347
200,National University of Singapore, Singapore 119077,21 Lower Kent Ridge Rd,1.2966426,103.7763939
201,Singapore Management University, Singapore 188065,81 Victoria St,1.2962727,103.8501578
202,Singapore University of Technology and Design, Singapore 487372,8 Somapah Rd,1.3405942,103.9631268
203,ESADE, Spain, 08034 Barcelona,41.3939315,2.114791
204,La Universidad de Rey Juan Carlos, Spain,Madrid,40.3358,-3.87688
205,Polytechnic University of Valencia, Spain, Valencia,39.4807985,-0.3406299
206,Public University of Navarre, Spain, Navarra,42.8005243,-1.6367636
207,Universidad Carlos III de Madrid, Spain, Madrid,40.3172177,-3.7274675
208,Universidad de Almeria, Spain, AlmerÃ­a,36.8290435,-2.4063528
209,Universidad de Malaga, Spain, 29016 MÃ¡laga,36.7199495,-4.4161391
210,Universidad de Santiago de Compostela, Spain, A CoruÃ±a,42.8885225,-8.5449726
211,Universidade de Vigo, Spain, Pontevedra,42.1697632,-8.6845784
212,Universitat Autonoma de Barcelona, Spain, Barcelona,41.5020282,2.1046866
213,University of Alicante, Spain, Alicante,38.3852446,-0.5143161
214,University of Navarra, Spain, Navarra,42.8014918,-1.6597366
215,University of the Basque Country, Spain, Vizcaya,43.3314059,-2.9706058
216,Jonkoping International Business School, Sweden, 553 18 JÃ¶nkÃ¶ping,57.7790165,14.1628518
217,Karlstad University, Sweden, 651 88 Karlstad,59.406399,13.582588
218,Kristianstad University, Sweden, 291 39 Kristianstad,56.0484832,14.1463248
219,Linnaeus University, Sweden, 351 95 VÃ¤xjÃ¶,56.8544846,14.8300257
220,Lulea University of Technology, Sweden,971 87 LuleÃ¥,65.6179964,22.1401794
221,Stockholm School of Economics, Sweden, 113 83 Stockholm,59.3416182,18.0567906
222,University of Gothenburg, Sweden,405 30 Gothenburg,57.6981719,11.971878
223,University West, USA, MD 21210,39.3353694,-76.6217162
224,Uppsala University, Sweden, 752 36 Uppsala,59.8509005,17.6300093
225,Universitat Bern, Switzerland, 3012 Bern,46.9504896,7.438119
226,University of Basel, Switzerland, 4051 Basel,47.5585281,7.5838692
227,University of Geneva, Switzerland,1205 Geneva,46.199444,6.1451157
228,University of Lausanne, Switzerland,1015 Lausanne,46.5210895,6.5801606
229,University of Zurich, Switzerland, 8006 ZÃ¼rich,47.3743221,8.5509812
230,National Cheng Kung University, Taiwan 701, Tainan City,22.9988416,120.2195148
231,National Chengchi University, Taiwan 116, Taipei City,24.9861694,121.5771149
232,National Sun Yat-sen University, Taiwan 804, Kaohsiung City,22.6283384,120.2647299
233,National Taiwan University, Taiwan 10617, Taipei City,25.0173405,121.5397518
234,"National Taiwan University, College of Management", Taiwan 106, Taipei City,25.0140168,121.5381442
235,National Tsing Hua University, Taiwan 300, Hsinchu City,24.7961217,120.9966699
236,TungHai University, Taiwan 407224, Taichung City,24.1804426,120.5985321
237,Chulalongkorn University, Thailand, Krung Thep Maha Nakhon 10330,13.7384715,100.5313366
238,Rangsit University, Thailand, Chang Wat Pathum Thani 12000,13.9656101,100.5861424
239,Thammasat University, Thailand, Krung Thep Maha Nakhon 10200,13.7574279,100.4899827
240,Kadir Has University, Turkey, 34083 Cibali / Fatih/Fatih/Ä°stanbul,41.0249511,28.9589739
241,Koc University, Turkey, 34450 SarÄ±yer/Ä°stanbul,41.20543,29.0724115
242,"Central St. Martins, University of Arts London", UK, London N1C 4AA,51.535737,-0.1244228
243,Coventry University, UK, Coventry CV1 5FB,52.4071747,-1.5037461
244,Durham University, UK,Durham DH1,54.7649859,-1.5782029
245,King's College London, UK, London WC2R 2LS,51.5114864,-0.115997
246,Kingston University, USA, NY 14221,42.955008,-78.7208967
247,London Business School, UK, London NW1 4SA,51.5261552,-0.160668
248,London Metropolitan University, UK, London N7 8DB,51.5516422,-0.1105435
249,Middlesex University, UK, London NW4 4BT,51.5901102,-0.228922
250,Napier University, UK, Edinburgh EH11 4DY,55.9247156,-3.2884614
251,"Queen Mary, University of London", UK, London E1 4NS,51.5240671,-0.0403745
252,"SOAS, University of London", UK, London WC1H 0XG,51.52235,-0.129259
253,The University of Edinburgh, UK, Edinburgh EH8 9YL,55.9445158,-3.1892413
254,University of Aberdeen, UK, Aberdeen AB24 3FX,57.16476,-2.1015257
255,University of Bath, UK, Bath BA2 7AY,51.3798503,-2.3314545
256,University of Birmingham, UK,Birmingham B15 2TT,52.4508168,-1.9305135
257,University of Brighton, USA, MA 02135,42.3428804,-71.1619399
258,University of Bristol, UK, Bristol BS8 1TH,51.4584172,-2.6029792
259,University of Cambridge, UK, Cambridge CB2 1TN,52.2042666,0.1149085
260,University of Central Lancashire, UK, Preston PR1 2HE,53.7645172,-2.7082894
261,University of Chester, UK, Chester CH1 4BJ,53.2002705,-2.8991292
262,University of Edinburgh, UK, Edinburgh EH8 9YL,55.9445158,-3.1892413
263,University of Exeter, UK, Exeter EX4 4PY,50.7371369,-3.5351475
264,University of Glasgow, Canada, ON N1G 2W1,43.5327217,-80.2261804
265,University of Hertfordshire, UK, Hatfield AL10 9EU,51.7613666,-0.2482209
266,University of Leeds, UK, Leeds LS2 9JT,53.8066815,-1.5550328
267,University of Nottingham, UK,Nottingham NG7 2RD,52.938636,-1.1951582
268,University of Plymouth, UK, Plymouth PL4 8AA,50.3761866,-4.1394919
269,University of Sheffield, UK, Sheffield S10 2TG,53.3809409,-1.4879469
270,University of the Arts London, UK, London WC1V 7EY,51.5178589,-0.1165507
271,University of Westminster, USA, MD 21157,39.5603198,-76.9899576
272,Adrian College, USA, MI 49221,41.8987054,-84.0592414
273,Agnes Scott College, USA, GA 30030,33.7685056,-84.2945346
274,American University, USA, DC 20016,38.9374948,-77.0888029
275,Amherst-College, USA, MA 01002,42.3709104,-72.5170028
276,Appalachian State University, USA, NC 28608,36.2135255,-81.6839919
277,Arizona State University, USA, AZ 85004,33.4532165,-112.0719833
278,Barton College, USA, NC 27893,35.734288,-77.913777
279,Baylor University, USA, TX 76706,31.5469132,-97.1210998
280,Beloit College, USA, WI 53511,42.5030333,-89.0309048
281,Biola University, USA, CA 90639,33.9054476,-118.0151797
282,Bowling Green State University, USA, OH 43403,41.3797788,-83.6300826
283,Brandeis University, USA, MA 02453,42.3656827,-71.2585395
284,Bridgewater College, USA, VA 22812,38.3788857,-78.9692627
285,Brown University, USA, RI 02912,41.8267718,-71.4025482
286,Butler University, USA, IN 46208,39.8405491,-86.1708927
287,California Polytechnic State University San Luis Obispo, USA, CA 93407,35.3050053,-120.6624942
288,California State Polytechnic University Ponoma, USA, CA 91768,34.0588862,-117.8193781
289,Case Western Reserve University, USA, OH 44106,41.5043413,-81.6083838
290,Central Michigan University, USA, MI 48859,43.5819086,-84.7756364
291,Central Washington University, USA, WA 98926,47.0073154,-120.5362805
292,Chapman University, USA, CA 92866,33.7931305,-117.8521395
293,Christopher Newport University, USA, VA 23606,37.0627072,-76.4928349
294,Clarion University of Pennsylvania, USA, PA 16214,41.2089367,-79.3785631
295,Clemson University, USA, SC 29634,34.6738437,-82.8368654
296,Colgate University, USA, NY 13346,42.822465,-75.541671
297,College of Charleston, USA, SC 29424,32.7834441,-79.9370018
298,College of the Ozarks, USA, MO 65726,36.6163199,-93.2393789
299,College of William & Mary, USA, VA 23185,37.2710803,-76.7162891
300,Columbia University, USA, NY 10027,40.8075355,-73.9625727
301,Cornell College, USA, IA 52314,41.9269546,-91.4253502
302,Creighton University, USA, NE 68178,41.2655521,-95.9463862
303,CSU Chico, USA, CA 95929,39.7296988,-121.8497593
304,CSU Dominguez Hills, USA, CA 90747,33.8653106,-118.2590121
305,CSU East Bay, USA, CA 94542,37.6571459,-122.0574872
306,CSU Fresno, USA, CA 93740,36.8133631,-119.7460947
307,CSU Fullerton, USA, CA 92831,33.8829226,-117.8869261
308,CSU Long Beach, USA, CA 90840,33.7838235,-118.1140904
309,CSU Los Angeles, USA, CA 90032,34.0667698,-118.1684392
310,CSU Monterey Bay, USA, CA 93955,36.6516548,-121.7977985
311,CSU Northridge, USA, CA 91330,34.2410366,-118.5276745
312,CSU Sacramento, USA, CA 95819,38.5612918,-121.4240519
313,CSU San Marcos, USA, CA 92096,33.1294938,-117.1595707
314,CSU Stanislaus, USA, CA 95382,37.525248,-120.8553931
315,CUNY - Baruch College, USA, NY 10010,40.7403959,-73.9832252
316,Dartmouth College, USA, NH 03755,43.7044406,-72.2886935
317,Dickinson College, USA, PA 17013,40.2028536,-77.1972141
318,Dominican University of California, USA, CA 94901,37.9797597,-122.5132315
319,Eckerd College, USA, FL 33711,27.715886,-82.68816
320,Edgewood College, USA, WI 53711,43.060689,-89.423378
321,Elmhurst College, USA, IL 60126,41.8958085,-87.9456074
322,Emory University, USA, GA 30322,33.7971368,-84.32224
323,Fort Hays State University, USA, KS 67601,38.8714463,-99.3444887
324,George Mason University, USA, VA 22030,38.8298118,-77.3073606
325,George Washington University, USA, DC 20052,38.8997145,-77.0485992
326,Georgia Institute of Technology, USA, GA 30332,33.7756178,-84.396285
327,Gonzaga University, USA, WA 99258,47.6670321,-117.4014343
328,Hendrix College, USA, AR 72032,35.1022834,-92.4386825
329,Hobart & William Smith College, USA, OK 73651,35.0295009,-99.0931317
330,Idaho State University, USA, ID 83209,42.8627836,-112.429762
331,Illinois Institute of Technology, USA, IL 60616,41.8348731,-87.6270059
332,Indiana State University, USA, IN 47809,39.4714449,-87.4082752
333,Indiana University Bloomington, USA, IN 47405,39.1754487,-86.512627
334,Iowa State University, USA, IA 50011,42.0266573,-93.6464516
335,Iowa State University of Science and Technology, USA, IA 50011,42.0266573,-93.6464516
336,James Madison University, USA, VA 22807,38.435092,-78.8697548
337,Kansas State University, USA, KS 66506,39.1974437,-96.5847249
338,King College, USA, PA 18711,41.2502745,-75.8794058
339,Linfield College, USA, OR 97128,45.2006802,-123.1993365
340,Long Island University, USA, NY 11201,40.6912319,-73.9810659
341,Louisiana State University, USA, LA 70803,30.4132579,-91.1800023
342,Loyola University of New Orleans, USA, LA 70118,29.9346582,-90.1209925
343,Mansfield University, USA, PA 16933,41.8047541,-77.070428
344,Marshall University, USA, WV 25755,38.4235252,-82.4264145
345,Maryville College, USA, TN 37804,35.7514166,-83.9641634
346,Mercer University, USA, GA 31207,32.8288186,-83.6497769
347,Miami University, USA, OH 45056,39.5087485,-84.7344915
348,Michigan State University, USA,Michigan,42.701848,-84.4821719
349,Middle Tennessee State University, USA, TN 37132,35.8486105,-86.3648813
350,Minot State University, USA, ND 58707,48.2486167,-101.3014122
351,Missouri Southern State University, USA, MO 64801,37.0959022,-94.4607637
352,Montana State University, USA, MT 59717,45.6673524,-111.0546211
353,Muskingum College, USA, OH 43762,40.0002942,-81.7390462
354,Nebraska Wesleyan University, USA, NE 68504,40.8388083,-96.6474254
355,New Brunswick Theological Seminary, USA, NJ 08901,40.5012734,-74.4495222
356,New York University, USA, NY 10003,40.7295134,-73.9964609
357,New York University - Stern School of Business, USA, NY 10012,40.7290268,-73.9962539
358,North Carolina Agricultural & Technical State University, USA, NC 27411,36.0770034,-79.7718199
359,"North Carolina State University, Raleigh", USA, NC 27695,35.7846633,-78.6820946
360,North Central College, USA, IL 60540,41.772663,-88.1440142
361,North Dakota State University, USA, ND 58105,46.8977528,-96.8024367
362,North Georgia College & State University, USA, GA 30597,34.5278618,-83.9844416
363,Northern Arizona University, USA, AZ 86011,35.1804402,-111.6539683
364,Northern State University, USA, SD 57401,45.4510995,-98.4844923
365,Northwest Missouri State University, USA, MO 64468,40.3519854,-94.8825243
366,Northwestern State University of Louisiana, USA, LA 71457,31.7503518,-93.0974506
367,"Northwestern University, Kellogg School of Management", USA, IL 60208,42.057427,-87.6719431
368,Ohio State University, USA, OH 43210,40.0066723,-83.0304546
369,Oklahoma State University, USA, OK,36.1270236,-97.0737222
370,Old Dominion University, USA, VA 23529,36.8858594,-76.3057051
371,Oregon State University, USA, OR 97331,44.5637806,-123.2794443
372,Purdue University, USA, IN 47907,40.4237054,-86.9211946
373,Randolph-Macon College, USA, VA 23005,37.7603794,-77.4783518
374,Roanoke College, USA, VA 24153,37.294248,-80.054927
375,Sacred Heart University, USA, CT 06825,41.2204654,-73.2431786
