No,제목,학과,과정,년도,href,BERT_SCORE
11,InHolland University 경험보고서,영어영문학과,학부,2006,/partner/expReport.asp?id=2222&page=4&bgbn=R,1
10,Bravo holland! Bravo My Life!,경영학과,학부,2005,/partner/expReport.asp?id=2210&page=4&bgbn=R,1
9,다시 가고 싶은 그곳- Haarlem,경영학과,학부,2006,/partner/expReport.asp?id=2123&page=4&bgbn=R,1
8,Inholland University 경험 보고서,경영학과,학부,2005,/partner/expReport.asp?id=1994&page=4&bgbn=R,1
7,Inholland Univ 경험보고서,경영학과,학부,2005,/partner/expReport.asp?id=1935&page=4&bgbn=R,1
6,INHOLLAND UNIVERSITY,생활디자인,학부,2004-2005,/partner/expReport.asp?id=1733&page=5&bgbn=R,1
5,Inholland Haarlem,상경계열,학부,2005,/partner/expReport.asp?id=1611&page=5&bgbn=R,1
4,INHOLLAND이야기.,주거환경전공,학부,2004,/partner/expReport.asp?id=1339&page=5&bgbn=R,1
3,경험보고서,생활디자인전공,학부,2003,/partner/expReport.asp?id=1088&page=5&bgbn=R,1
2,Hogeschool Haarlem - 김송이,신문방송학과,학부,2001,/partner/expReport.asp?id=594&page=5&bgbn=R,0
1,Hogeschool Harrlem - 김홍식,상경계열,학부,2000,/partner/expReport.asp?id=440&page=5&bgbn=R,1
