,No,제목,학과,과정,년도,href,RNN_SCORE
37,17,vaxjo university 경험보고서,영어영문학과,학부,2010,/partner/expReport.asp?id=4752&page=4&bgbn=R,0.6680845022201538
38,16,경험보고서,행정,학부,2010,/partner/expReport.asp?id=4744&page=4&bgbn=R,0.7555708289146423
39,15,교환학생 경험보고서-Linnaeus(Vaxjo) University,주거환경학과,학부,2010,/partner/expReport.asp?id=4732&page=4&bgbn=R,0.6489906311035156
40,14,어느 것도 잃지 않는 여유를 배우다,국어국문학과,학부,2009,/partner/expReport.asp?id=4053&page=5&bgbn=R,0.9208152890205383
41,13,지루하거나 혹은 다이나믹하거나,행정/경영,학부,2008-2009,/partner/expReport.asp?id=3930&page=5&bgbn=R,0.022048473358154297
42,12,교환학생 경험보고서,생활디자인학과,학부,2009,/partner/expReport.asp?id=3803&page=5&bgbn=R,0.6901764869689941
43,11,"나를 다시 발견한 1년,",교육/영문학과,학부,2008-2009,/partner/expReport.asp?id=3794&page=5&bgbn=R,0.9630569815635681
44,10,내사랑 Vaxjo♥,경영학과,학부,2008,/partner/expReport.asp?id=3671&page=5&bgbn=R,0.7359508275985718
45,9,"대학시절 가장 아름다운 순간이 있던, Vaxjo",신문방송학과,학부,2008,/partner/expReport.asp?id=3625&page=5&bgbn=R,0.8980304002761841
46,8,Vaxjo 교환학생 생활,천문우주학과,학부,2008,/partner/expReport.asp?id=3454&page=5&bgbn=R,0.47574377059936523
47,7,"다른 세상을 꿈꿀 수 있게 한 나라, 스웨덴",교육학과,학부,2008-2009,/partner/expReport.asp?id=3444&page=5&bgbn=R,0.7902772426605225
48,6,"호수의 도시, Vaxjo에서의 1년",사회학과,학부,2007,/partner/expReport.asp?id=3276&page=5&bgbn=R,0.8186239004135132
49,5,친절한 사람들의 나라,문과대학 사학과,학부,2007,/partner/expReport.asp?id=2980&page=5&bgbn=R,0.33829814195632935
50,4,여기서 26시간 기차를 타면 오로라를 볼수 있어,교육학과,학부,2006,/partner/expReport.asp?id=2482&page=6&bgbn=R,0.4289228320121765
51,3,지구의 반대편 끝-스웨덴,생활디자인,학부,2006,/partner/expReport.asp?id=2460&page=6&bgbn=R,0.7144567966461182
52,2,친절한 사람들과 여유로운 생활을 Vaxjo,신문방송학과,학부,2006,/partner/expReport.asp?id=2216&page=6&bgbn=R,0.6841713190078735
53,1,파견 보고서,심리학과,학부,2006,/partner/expReport.asp?id=2154&page=6&bgbn=R,0.7255330681800842
